,text,ward,district,province
202,X. Trà DVưong Bắc Trà My TQuảg Nam,Trà Dương,Bắc Trà My,Quảng Nam
203,X.Vĩnh thắng Gò quao T Kiên Giang,Vĩnh Thắng,Gò Quao,Kiên Giang
204, H.Bắc Mê TỉnhHà Giang,,Bắc Mê,Hà Giang
205,"X.Thiết Kế,H.Bá Thước,",Thiết Kế,Bá Thước,
206,Phưng Khâm Thiên Quận Đ.Đa T.Phố HàNội,Khâm Thiên,Đống Đa,Hà Nội
207,"X Quỳnh Nuyên,,T. Thái Bình",Quỳnh Nguyên,,Thái Bình
208,"XVnh Hung, , T.Thanh Hóa",Vĩnh Hùng,,Thanh Hóa
209,"X.Tăng Thanh, H Yên Thành, ",Tăng Thành,Yên Thành,
210,"XãTrung Lập,  Vĩnh Bảo,7 ",Trung Lập,Vĩnh Bảo,
211,Phường Ngoc Thụy  Thành phốHà Nội,Ngọc Thụy,,Hà Nội
212,", Huyện Maỹ Lộc, TỉnhD Nam Định",,Mỹ Lộc,Nam Định
213,X.Yên Lạc HuyệnNhu Thanh Tỉnh Thanh Hóa,Yên Lạc,Như Thanh,Thanh Hóa
214,"TT Qu7 Nhất,,Tỉnh Nam Định",Quỹ Nhất,,Nam Định
215,"QX.Tân Hưng Tây, Ph8 Tân,",Tân Hưng Tây,Phú Tân,
216,", Huyện Cẩm Thủy, T.Thanh Hóca",,Cẩm Thủy,Thanh Hóa
217,"X.Phong Dụ, , Quảng Ninh",Phong Dụ,,Quảng Ninh
218,XãPhú Hưng  TBến tre,Phú Hưng,,Bến Tre
219,XAn Thủy Huyện Lệe Thủy TQuảng Bình,An Thủy,Lệ Thủy,Quảng Bình
220,"XBình PhúN  Càng Long, T.u trà Vinh",Bình Phú,Càng Long,Trà Vinh
221,"Phưong Thọ Son,T.Phố Việt Trì, Phú Thọ",Thọ Sơn,Việt Trì,Phú Thọ
222,"XHòa Bqc, HDi Linh, ",Hòa Bắc,Di Linh,
223," Cộng Hòa,,TỉnhHaOi Dương",Cộng Hòa,,Hải Dương
224,"Đai TanHuyện Đại ộc,TỉnhQuảng Nam",Đại Tân,Đại Lộc,Quảng Nam
225, HBảo Lâm 8 Cao Bằng,,Bảo Lâm,Cao Bằng
226,X. Sin Suối Hồ HPhong Thổ t Lai Châu,Sin Suối Hồ,Phong Thổ,Lai Châu
227,X Sùng Phài T.P zai Châu T.Lai Châu,Sùng Phài,Lai Châu,Lai Châu
228, An Lowng Phú Giáo TBinh Dương,An Long,Phú Giáo,Bình Dương
229,X Tân7 Thịnh  Yiên Bái T. yên Bái,Tân Thịnh,Yên Bái,Yên Bái
230,"XKHoan Sơn,TiênDu,Tỉnhbac Ninh",Hoàn Sơn,Tiên Du,Bắc Ninh
231, Hải An  Hải Lăng TQdung trị,Hải An,Hải Lăng,Quảng Trị
232, Tp Hà Tiên Tỉnh Kiên Giang,,Hà Tiên,Kiên Giang
233,Thị trấn Hai Riêng H Sông Hinh ,Hai Riêng,Sông Hinh,
234,X. Diễn Thành Huyện Diên Châu ,Diễn Thành,Diễn Châu,
235,",Bảo Lâ.,Tỉnh Cao Bằng",,Bảo Lâm,Cao Bằng
236,"Xã thanh Vĩnh Đông, HuyệnChâu Thành, TLong An",Thanh Vĩnh Đông,Châu Thành,Long An
237,"X.Chê La,,T.Hà GianZ",Chế Là,,Hà Giang
238,Hôno Sỹ  Tỉnh Cao Bằng,Hồng Sỹ,,Cao Bằng
239,X. Hành Tín Tây  T.Quảng Ngãi,Hành Tín Tây,,Quảng Ngãi
240,F An lac Chí Linh Tỉnh Hải Dương,An Lạc,Chí Linh,Hải Dương
241,", HXuân Lộc,  Đồng Nai",,Xuân Lộc,Đồng Nai
242," Hòa Lợi,, Trà vinh",Hòa Lợi,,Trà Vinh
243,"Phường Hiệ An, T.X.Kinh Môn, TỉnhHải Dương",Hiệp An,Kinh Môn,Hải Dương
244,Xã Trịnh Tường H Bát Xát ,Trịnh Tường,Bát Xát,
245,XãChiềng Mu5ng  T.stn la,Chiềng Mung,,Sơn La
246,"Fmễ Trì, Nam Từ Liêm, Thành phố HN",Mễ Trì,Nam Từ Liêm,Hà Nội
247,P4 T.Ph9ốĐông Hà ,4,Đông Hà,
248,"F. Trần Hưng Đao,Phủ Ly,TỉnhH  Nam",Trần Hưng Đạo,Phủ Lý,Hà Nam
249,Tông Lạnh H.Thuận Chru TSơn La,Tông Lạnh,Thuận Châu,Sơn La
250, T.PhôSông Công t. Thái Nguyên,,Sông Công,Thái Nguyên
251,"F.07, Q6, ",07,6,
252,"P.Xuân Lam, Thuận Thành, T.Bắc Ninh",Xuân Lâm,Thuận Thành,Bắc Ninh
253,XãĐông h KBang TGia Lai,Đông,KBang,Gia Lai
254," Long Thắng, Huyn Lai ung, ",Long Thắng,Lai Vung,
255," Lưu Sơn, H. Đô Lương, Nghệ An",Lưu Sơn,Đô Lương,Nghệ An
256," Chi Lăng,H Chi Lăng,Tỉnh Lạng5 Sơn",Chi Lăng,Chi Lăng,Lạng Sơn
257," Bằng Lng,,T.Bắc Kạn",Bằng Lũng,,Bắc Kạn
258, Huyệntân biên T.TDy Ninh,,Tân Biên,Tây Ninh
259, HuyệnThanh Miện Tỉnh Hải Dương,,Thanh Miện,Hải Dương
260,"X. Tân An, HuyệnThnh Hà, ",Tân An,Thanh Hà,
261,"XãtrBung Thanh,,TThanh Hóa",Trung Thành,,Thanh Hóa
262,"vĩnh Hưng, , Long An",Vĩnh Hưng,,Long An
263,"Phường 04,,Thành phốHồ Chi Minh",04,,Hồ Chí Minh
264,Xã Nâm Ntừ  Nậm Pồ ,Nậm Nhừ,Nậm Pồ,
265,X Châu Thuận7  TNghệ An,Châu Thuận,,Nghệ An
266,"P.Văn Đẩu, qKiến An, ThànhMphố Hải Phòng",Văn Đẩu,Kiến An,Hải Phòng
267, Cẩm Lương HCẩm Thủa T. Thanh Hóa,Cẩm Lương,Cẩm Thủy,Thanh Hóa
268,",HPhú Bình, thái Nguyên",,Phú Bình,Thái Nguyên
269,"Phường Hoài Hảo,T.Xã.Hoai Nhơn,TBình Đinh",Hoài Hảo,Hoài Nhơn,Bình Định
270, Hướng Hiệp  Đa Krông T Quảng TrZ,Hướng Hiệp,Đa Krông,Quảng Trị
271,P Ea Tam T.P Buôn Ma Thuột TỉnĐắk Llk,Ea Tam,Buôn Ma Thuột,Đắk Lắk
272,"Tân An, H. Vĩnh Cửu, T Đồng Nai",Tân An,Vĩnh Cửu,Đồng Nai
273,"F Tân Dân, T.Xã.Nghi Sơn, TỉnhThanh Hóa",Tân Dân,Nghi Sơn,Thanh Hóa
274,"XNam Cát, HuyệnNam đàn, ",Nam Cát,Nam Đàn,
275,Xã Vị Tân  Vị Than ,Vị Tân,Vị Thanh,
276,"X My Thành Bac, HuyệnCai Lậy, ",Mỹ Thành Bắc,Cai Lậy,
277,XCư Drămb H.Krông Bông ,Cư Drăm,Krông Bông,
278,"X Bình Hi, , T.Quảcg Nam",Bình Hải,,Quảng Nam
279,"XãNân Chính, H Ly Nhân, Tỉnh HaNam",Nhân Chính,Lý Nhân,Hà Nam
280," Khả cửu, H. Thanh Srn, ",Khả Cửu,Thanh Sơn,
281,", Đông Hòa,Tỉnh Phú yn",,Đông Hòa,Phú Yên
282, HuyệnĐắk Tô T. KonTum,,Đắk Tô,Kon Tum
283,"Thị Trấn Nông Trường Việt lâm,Vị Xuyen,Ha Giang",Nông Trường Việt Lâm,Vị Xuyên,Hà Giang
284,", Q11, Hồ Chí Minh",,11,Hồ Chí Minh
285, H. Đăk Đoa TỉnhGia Lai,,Đăk Đoa,Gia Lai
286,"F.LoWng Binh, TpThủ Đưc, TPHCM",Long Bình,Thủ Đức,Hồ Chí Minh
287,"Xã Đông cường, h.Đông Hưng, ",Đông Cường,Đông Hưng,
288,"XTrung Nghĩa, , THưng Yên",Trung Nghĩa,,Hưng Yên
289,  Chư Se T Gia Lai,,Chư Sê,Gia Lai
290,"X. Hải Minh,,N5am Định",Hải Minh,,Nam Định
291,",HyệnĐại Lộc,TỉnhQuảng Nam",,Đại Lộc,Quảng Nam
292,"Bạch Lưu, H.Song Lô, Vĩnh PGhúc",Bạch Lưu,Sông Lô,Vĩnh Phúc
293,X.Đề Thám  T.Lạng Sơn,Đề Thám,,Lạng Sơn
294,"PhườngHà Mãn, T.X.Thuận Thành, ",Hà Mãn,Thuận Thành,
295,Xa Sơn Thy H. Le Thủy Tỉnh Quảng Bình,Sơn Thủy,Lệ Thủy,Quảng Bình
296,"x. Nam Thai A, AZBiên,Tỉnh Kiên Giang",Nam Thái A,An Biên,Kiên Giang
297,"P. Quảng Thọ,T.P Sầm Swn,TY. thanh Hóa",Quảng Thọ,Sầm Sơn,Thanh Hóa
298, Đông Htòa Phu Yên,,Đông Hòa,Phú Yên
299, Tam Amnh NZm  Núi Thành TQuảng Nam,Tam Anh Nam,Núi Thành,Quảng Nam
300,"X Vân Du, , Phú Thọ",Vân Du,,Phú Thọ
301,"P. Phong CNốc Th,ị xãQuảng Yên t. Quảng Ninh",Phong Cốc,Quảng Yên,Quảng Ninh
302,"X.An Thuận, , TBến Tre",An Thuận,,Bến Tre
303,"Nghi Sơ6n, T.X. Nghi Sơn, Thhanh Hóa",Nghi Sơn,Nghi Sơn,Thanh Hóa
304,", ThăngFBìh,T. Quảng Nam",,Thăng Bình,Quảng Nam
305,"TT Đạ Tẻh, , T. Lâm Đồng",Đạ Tẻh,,Lâm Đồng
306,"TT Hội An,,TAn Giang",Hội An,,An Giang
307,"X. TErường Thịnh,h Ứng Hòa, Hà Nội",Trường Thịnh,Ứng Hòa,Hà Nội
308,"X.H Mỗ, Đan PhTượng,",Hạ Mỗ,Đan Phượng,
309,"Xã Tiến Nông,H Trệu Sơn,T. Thanh Hóa",Tiến Nông,Triệu Sơn,Thanh Hóa
310,", HuyệnBình Sơn, TQuảng Ngãi",,Bình Sơn,Quảng Ngãi
311,"Xã Quang Tiếns6 Tân Yên, ",Quang Tiến,Tân Yên,
312,Thị Trấn Kẻ Sặt H.Binh giang THải Dưong,Kẻ Sặt,Bình Giang,Hải Dương
313,"Xã Lương Hòa,HuyệnBen Lức,",Lương Hòa,Bến Lức,
314,"X.Tân Son,hchợ QMới,",Tân Sơn,Chợ Mới,
315,"Quách Phẩm Bắc, , Cà Mzu",Quách Phẩm Bắc,,Cà Mau
316,"X Tvực Đạo, , Nam Định",Trực Đạo,,Nam Định
317,"Thị trấn Tân Phong, , TThanh Hóa",Tân Phong,,Thanh Hóa
318,"X. Lộc Thah,T0P Bảo lộc,TLâm Đông",Lộc Thanh,Bảo Lộc,Lâm Đồng
319,X Đương Hoa  TQuảng Ninh,Đường Hoa,,Quảng Ninh
320,"xã Vạn Kim, HuyệnMỹ Đức, T.P HNội",Vạn Kim,Mỹ Đức,Hà Nội
321,"XMiền Đồi,LaZc Sơn,",Miền Đồi,Lạc Sơn,
322,X Phu Mãn   HN,Phú Mãn,,Hà Nội
323, H. Hồng Ngự T Đồng Thap,,Hồng Ngự,Đồng Tháp
324,X Mường Lèo H Sốp Cộp T Sơn ma,Mường Lèo,Sốp Cộp,Sơn La
325," Huyện Chợ gạo Tỉ,nh Tiền Giang",,Chợ Gạo,Tiền Giang
326,Xã Tam Xuân I Huyệnúi Thành Quảng Nam,Tam Xuân I,Núi Thành,Quảng Nam
327,",  Mỹ Đức, HàNội",,Mỹ Đức,Hà Nội
328,"J,Huyệnđô Lương,Tỉnh Nghệ An",,Đô Lương,Nghệ An
329,XTâm Thsắng Cư Jút TỉnhĐắk Nông,Tâm Thắng,Cư Jút,Đắk Nông
330,Tích Sơn T.Phốvinh Yên t vĩnh phúc,Tích Sơn,Vĩnh Yên,Vĩnh Phúc
331,X.Hòa Trị Huzyen hú Hoa TPhú Yên,Hòa Trị,Phú Hoà,Phú Yên
332,XLa Sơn H. Binh lục ,La Sơn,Bình Lục,
333,"F. Điện Nam Bắc, x TQuảng Nam",Điện Nam Bắc,,Quảng Nam
334,",H Krông Năng,Đắk Lắk",,Krông Năng,Đắk Lắk
335,X. Bok Tới H Hoài Ân  Bìh Định,Bok Tới,Hoài Ân,Bình Định
336,XTân Nghia  Di Linh Lâm ĐồnG,Tân Nghĩa,Di Linh,Lâm Đồng
337,Bình Sa HuyệnThăng Bình ,Bình Sa,Thăng Bình,
338,",H Bắc Son,TỉnhLạng Son",,Bắc Sơn,Lạng Sơn
339,"xTân Lập, H Vũ Thư, Thái bình",Tân Lập,Vũ Thư,Thái Bình
340,Tinh Nhu Huyện Thanh Sơn Tỉnh Phú Tho,Tinh Nhuệ,Thanh Sơn,Phú Thọ
341,"XãGia Vượng, Gia Viễn, ",Gia Vượng,Gia Viễn,
342," Hợp đức, , Tp Hải Phòng",Hợp Đức,,Hải Phòng
343,"Thị trấnSông Đốc, , TnhCà Mau",Sông Đốc,,Cà Mau
344,",H.Trảng Bom,Đồng Nai",,Trảng Bom,Đồng Nai
345,"X Vĩnh Hanh, Châu Thành,An Giang",Vĩnh Hanh,Châu Thành,An Giang
346,X.Yên Phong  Tỉnh Bắc Kạn,Yên Phong,,Bắc Kạn
347,P. Nhi Thu Thị xã Cửa Lò TNghệ An,Nghi Thu,Cửa Lò,Nghệ An
348,F.Dịch Vọng  C/Giấy Thành phốHàNội,Dịch Vọng,Cầu Giấy,Hà Nội
349,Xã Minh thuận HuyệnU Minh Thượng TỉnhKiên Giang,Minh Thuận,U Minh Thượng,Kiên Giang
350," Ea Huar,HuyệnBuôn Đôn,",Ea Huar,Buôn Đôn,
351,X.SRó  Kông Chro T.Gia Lai,SRó,Kông Chro,Gia Lai
352,X Tân Thanh Huyện Lang Giang ,Tân Thanh,Lạng Giang,
353,X. Sơn Hv HSơn Hoa Tỉnh Phú Yên,Sơn Hội,Sơn Hòa,Phú Yên
354,Xã Bản My H..Hoàng Su Phì T.Hà Giang,Bản Máy,Hoàng Su Phì,Hà Giang
355,Công Hòa H.Kim Thành ,Cộng Hòa,Kim Thành,
356,"XãChơ Chun, H NamiGiang, T.Quảng Nam",Chơ Chun,Nam Giang,Quảng Nam
357,"X.Vô Tranh, hLục Nam, Bắc Giang",Vô Tranh,Lục Nam,Bắc Giang
358,"Bù Gia Map,H Bù Gia Mập,Bình Phước",Bù Gia Mập,Bù Gia Mập,Bình Phước
359,  Quỳ Châu T.NSghệ An,,Quỳ Châu,Nghệ An
360, H.Văn Giang Tỉnh Hưng Yê0,,Văn Giang,Hưng Yên
361,"x.Ba tiêu,  Ba Tơ, Quảng Ngãi",Ba Tiêu,Ba Tơ,Quảng Ngãi
362,Xã Tân Kiên Hbình Chánh Thành phôHôChíMinh,Tân Kiên,Bình Chánh,Hồ Chí Minh
363, H.Thanh Liêm T.Ha Nam,,Thanh Liêm,Hà Nam
364,  Chí Linh  Hải Dương,,Chí Linh,Hải Dương
365,"X. Tam Đồng,HuyệnMê Linh,T.Phw HàNoi",Tam Đồng,Mê Linh,Hà Nội
366," eăn Tiến, Yên Lạc, vĩnh P0húc",Văn Tiến,Yên Lạc,Vĩnh Phúc
367,F. An Phú T.X. Tịnh Biên T.An Giang,An Phú,Tịnh Biên,An Giang
368,"X.Cẩm Hoàng,,T. Hải Dươnwg",Cẩm Hoàng,,Hải Dương
369,"X. Cat Chánh,HuyệnPhù Cát,",Cát Chánh,Phù Cát,
370," Ea Kmút,hyệnea Kar,Tỉnwh Đắk Lắk",Ea Kmút,Ea Kar,Đắk Lắk
371,Xã 7Sơn Hà HuyệnNho Quan Tinh Ninh Bình,Sơn Hà,Nho Quan,Ninh Bình
372,"X.Mỹ Thạnh, HuyệnGiong Trôm, TỉnhBến Tre",Mỹ Thạnh,Giồng Trôm,Bến Tre
373,"Xã C.hâu Minh, HHiệp Ha, TBắc Giang",Châu Minh,Hiệp Hòa,Bắc Giang
374,"Xthịnh Vượng,A , TG.Cao băng",Thịnh Vượng,,Cao Bằng
375,"Diên Thạnh,,T Khabnh Hòa",Diên Thạnh,,Khánh Hòa
376,"X.Việt Hồng, , TrHà Giang",Việt Hồng,,Hà Giang
377,X.Đức Sơn Anh Sơn ,Đức Sơn,Anh Sơn,
378,Đăk Nang H. Krông Nô TĐắk Nông,Đắk Nang,Krông Nô,Đắk Nông
379,"X.Điện Hồng,Thị xã Điện Bàn,t Quảng Nam",Điện Hồng,Điện Bàn,Quảng Nam
380,", H Duy Xuyên, T.Quảng Nam",,Duy Xuyên,Quảng Nam
381,"Đứ Lợi,H Mộ Đức,TỉnhQuản Ngãi",Đức Lợi,Mộ Đức,Quảng Ngãi
382,"PhườngNguyễn Trãi, T.P Kon Tum, T Kon Tum",Nguyễn Trãi,Kon Tum,Kon Tum
383,X Song Lộc H.Châu Thành ,Song Lộc,Châu Thành,
384,"Lộc Châu,TPBảo Lộc,T Lâm Đồng",Lộc Châu,Bảo Lộc,Lâm Đồng
385,"X. Bản Nguyen,HuyệnLâm Thao,",Bản Nguyên,Lâm Thao,
386,"Phương Công,huyen Tiền Hải,T.Thái Bình",Phương Công,Tiền Hải,Thái Bình
387,"X Lương Nghĩa,H. Long Mỹ,T. Hậu giangg",Lương Nghĩa,Long Mỹ,Hậu Giang
388,"X Tây Yên, H.An Biên, TKiên Giang",Tây Yên,An Biên,Kiên Giang
389,Xã Kiên Thành H Trấn Yên T.yên Bi,Kiên Thành,Trấn Yên,Yên Bái
390," Duy Phú,  Duy Xuyen,  Quang Nam",Duy Phú,Duy Xuyên,Quảng Nam
391,XPhước Vĩnh Đông  Cần Giuộc T. Long An,Phước Vĩnh Đông,Cần Giuộc,Long An
392,"XThạch Xuâ,Thạch Hà,T. Hà Tĩnh",Thạch Xuân,Thạch Hà,Hà Tĩnh
393, Quận 1 T.P H.C.Minh,,1,Hồ Chí Minh
394,"Sín Chéng,HuyệnSi Ma Cai,TỉnhLào Cai",Sín Chéng,Si Ma Cai,Lào Cai
395,XDuy Hải  TQuảng Nam,Duy Hải,,Quảng Nam
396,",H.Tuy An,Tinh Phú yên",,Tuy An,Phú Yên
397,x. Văn Cẩs HuyệnHung Hà Tthái Bình,Văn Cẩm,Hưng Hà,Thái Bình
398,", Mường La,  sơn La",,Mường La,Sơn La
399,"oã Bnh Ngọc,T.Phố Tuy Hoà,Tỉnhphú Yên",Bình Ngọc,Tuy Hoà,Phú Yên
400," Chương Dương, HuyệnĐôngHưng, ",Chương Dương,Đông Hưng,
401,Nậm Tin  Diện Biên,Nậm Tin,,Điện Biên
402, T.P Phan Rang-Tháp lhàm  Ninh Thuận,,Phan Rang-Tháp Chàm,Ninh Thuận
403,", Tân Phươc, Tin GJiang",,Tân Phước,Tiền Giang
404,"X An Đức, Huyên Ninh Giang, T.Hải Dương",An Đức,Ninh Giang,Hải Dương
405,"XTrung Kiên,,Tỉnh Vĩnh Phuúc",Trung Kiên,,Vĩnh Phúc
406,"X. Đông Lâm2, Huyen Tiền Hải, T.Thái Bình",Đông Lâm,Tiền Hải,Thái Bình
407, H. Ea Súp  Đắk Lắk,,Ea Súp,Đắk Lắk
408," Đức Lĩnh,Vũ Quang,",Đức Lĩnh,Vũ Quang,
409,"XQuỳnh Hôi, Quỳnh Phụ, Thái Bình",Quỳnh Hội,Quỳnh Phụ,Thái Bình
410," Yn phú, HBắc Mê, TỉnhV Hà giang",Yên Phú,Bắc Mê,Hà Giang
411,Xuân Tân t.P Long Khánh ,Xuân Tân,Long Khánh,
412,"Xia Ake, HuyệnPhú Thiện, TGia Lai",Ia Ake,Phú Thiện,Gia Lai
413,"X.Thái Sơn, An Lão, hải Phòng",Thái Sơn,An Lão,Hải Phòng
414,"Xã Uar, Krông Pa, Tỉnh Gia Lai",Uar,Krông Pa,Gia Lai
415, H Ea H'leo T Đắk Lắk,,Ea H'leo,Đắk Lắk
416,Phú Đô HuyệnPhú Lươnz ,Phú Đô,Phú Lương,
417," Thái Ha, HBa Vì, T.pHNội",Thái Hòa,Ba Vì,Hà Nội
418,X.Phước Hiệp  Tỉnh Bến Tre,Phước Hiệp,,Bến Tre
419,"XHuy Hạ,  phù Yêu, T.Sơn La",Huy Hạ,Phù Yên,Sơn La
420,"TTr.Quỳnh Côi,HQuỳnh Phụ,TThai Bình",Quỳnh Côi,Quỳnh Phụ,Thái Bình
421,", Nam Đông,T. T.T.H",,Nam Đông,Thừa Thiên Huế
422, Cam Nhân HuyệnYên Bình TYên Bái,Cảm Nhân,Yên Bình,Yên Bái
423,TTĐức An Huyện Đắk SongTỉnhĐắk Nông,Đức An,Đắk Song,Đắk Nông
424,"Xã Ninh Sở, Huyện Thường Tin, T.Phà Nội",Ninh Sở,Thường Tín,Hà Nội
425,"X Đoàn đào,4 Phù Cừ,T.Hưng Yên",Đoàn Đào,Phù Cừ,Hưng Yên
426,X. Hương Liên HuyệnHương Khê T Hà Tinh,Hương Liên,Hương Khê,Hà Tĩnh
427,",H.Hoài ân,TBình Dịnh",,Hoài Ân,Bình Định
428,Phườni Tràng Minh Q. Kiến An Thành phố Hải Phòng,Tràng Minh,Kiến An,Hải Phòng
429, bản HoJn huyện Tam Đường Tỉnh Lai Châu,Bản Hon,Tam Đường,Lai Châu
430," Điên Hải, Đông Hải, T bạc Liêu",Điền Hải,Đông Hải,Bạc Liêu
431,", H KBang, Gia Lai",,KBang,Gia Lai
432,"X. Thanh Phongjc , Tỉnhthanh hóa",Thanh Phong,,Thanh Hóa
433,  Bắc Trà My TỉnhQuảng NaHm,,Bắc Trà My,Quảng Nam
434,"xã Bình Trung,,TLạng Son",Bình Trung,,Lạng Sơn
435,",  Ba Vì, TP Hà Nội",,Ba Vì,Hà Nội
436,",Diễn Châu,TỉnhNghệ An",,Diễn Châu,Nghệ An
437, Muyện Châu Thành TỉnhĐồng Tháp,,Châu Thành,Đồng Tháp
438,Đông thanh AnE Minh T kien Giang,Đông Thạnh,An Minh,Kiên Giang
439,"Xã Tân Lĩnh, H.Lục Yên, TYên Bái",Tân Lĩnh,Lục Yên,Yên Bái
440,"P Thủy Châu,T.X. hươngThủy,Thừa.t.Huế",Thủy Châu,Hương Thủy,Thừa Thiên Huế
441,"Thi trấ Ea. Knốp,H. Ea Kar,",Ea Knốp,Ea Kar,
442,"X. Quế Minh,HZuyện Quế Sơn,TỉnhQuảng Nam",Quế Minh,Quế Sơn,Quảng Nam
443,X.Nga Thanh hyện Nga son TỉnhThanhQ Hóa,Nga Thanh,Nga Sơn,Thanh Hóa
444,"Phường Phú Mỹ, Thà6nh phố Thủ Dầu Một, TBình Dương",Phú Mỹ,Thủ Dầu Một,Bình Dương
445,",Lệ Thủy,T quảng BìnKh",,Lệ Thủy,Quảng Bình
446,F Tân bình  dĩ An ,Tân Bình,Dĩ An,
447,"x2Trung Sơn,,TỉnhNghê An",Trung Sơn,,Nghệ An
448,"XãCôn Lôn,H Na Hang,TỉnhC Tuyên.Quang",Côn Lôn,Na Hang,Tuyên Quang
449,"Tân Hòa,H. Phú Tân,TnhAn Giang",Tân Hòa,Phú Tân,An Giang
